No,Film,Genre,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year,,,,
1,Zack and Miri Make a Porno,Romance,The Weinstein Company,70,1.747541667,64,$41.94 ,2008,,,,
2,Youth in Revolt,Comedy,The Weinstein Company,52,1.09,68,$19.62 ,2010,,,,
3,You Will Meet a Tall Dark Stranger,Comedy,Independent,35,1.211818182,43,$26.66 ,2010,,,,
4,When in Rome,Comedy,Disney,44,0,15,$43.04 ,2010,,,,
5,What Happens in Vegas,Comedy,Fox,72,6.267647029,28,$219.37 ,2008,,,,
6,Water For Elephants,Drama,20th Century Fox,72,3.081421053,60,$117.09 ,2011,,,,
7,WALL-E,Animation,Disney,89,2.896019067,96,$521.28 ,2008,,,,
8,Waitress,Romance,Independent,67,11.0897415,89,$22.18 ,2007,,,,
9,Waiting For Forever,Romance,Independent,53,0.005,6,$0.03 ,2011,,,,
10,Valentine's Day,Comedy,Warner Bros.,54,4.184038462,17,$217.57 ,2010,,,,
11,Tyler Perry's Why Did I get Married,Romance,Independent,47,3.7241924,46,$55.86 ,2007,,,,
12,Twilight: Breaking Dawn,Romance,Independent,68,6.383363636,26,$702.17 ,2011,,,,
13,Twilight,Romance,Summit,82,10.18002703,49,$376.66 ,2008,,,,
14,The Ugly Truth,Comedy,Independent,68,5.402631579,14,$205.30 ,2009,,,,
15,The Twilight Saga: New Moon,Drama,Summit,78,14.1964,27,$709.82 ,2009,,,,
16,The Time Traveler's Wife,Drama,Paramount,65,2.598205128,38,$101.33 ,2009,,,,
17,The Proposal,Comedy,Disney,74,7.8675,43,$314.70 ,2009,,,,
18,The Invention of Lying,Comedy,Warner Bros.,47,1.751351351,56,$32.40 ,2009,,,,
19,The Heartbreak Kid,Comedy,Paramount,41,2.129444167,30,$127.77 ,2007,,,,
20,The Duchess,Drama,Paramount,68,3.207850222,60,$43.31 ,2008,,,,
21,The Curious Case of Benjamin Button,Fantasy,Warner Bros.,81,1.78394375,73,$285.43 ,2008,,,,
22,The Back-up Plan,Comedy,CBS,47,2.202571429,20,$77.09 ,2010,,,,
23,Tangled,Animation,Disney,88,1.365692308,89,$355.01 ,2010,,,,
24,Something Borrowed,Romance,Independent,48,1.719514286,15,$60.18 ,2011,,,,